open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1644667200000,42406.48000000,42445.85000000,42200.24000000,42276.30000000,761.14767000,1644670799999,32208360.30716280,30150,336.72025000,14249453.61662530,0
1644670800000,42276.30000000,42340.46000000,42078.79000000,42099.17000000,759.18993000,1644674399999,32050634.88275810,29660,304.75947000,12866019.09280740,0
1644674400000,42099.17000000,42218.92000000,41800.13000000,42160.63000000,1823.14624000,1644677999999,76603057.78182140,45168,930.96488000,39124387.59382490,0
1644678000000,42160.62000000,42207.03000000,41833.31000000,42123.93000000,1279.20704000,1644681599999,53773816.32636830,35121,647.31567000,27208589.61709020,0
1644681600000,42123.92000000,42806.65000000,41995.20000000,42730.49000000,2924.88562000,1644685199999,124343155.81262770,61643,1503.79503000,63909495.15170130,0
1644685200000,42730.49000000,42804.03000000,42548.62000000,42723.95000000,874.29337000,1644688799999,37316796.77466320,33266,384.84224000,16426207.24461620,0
1644688800000,42723.94000000,43079.49000000,42723.94000000,42829.94000000,1434.49231000,1644692399999,61528320.34375970,40865,792.82927000,34014805.79902710,0
1644692400000,42829.94000000,42882.66000000,42608.56000000,42662.47000000,844.40080000,1644695999999,36082750.31000200,27508,419.84992000,17941598.46902210,0
1644696000000,42662.47000000,42752.99000000,42475.16000000,42622.67000000,711.33990000,1644699599999,30315742.45801370,27913,365.48190000,15576232.93229310,0
1644699600000,42622.66000000,42622.67000000,41700.00000000,41877.82000000,2237.21042000,1644703199999,94136931.33221920,57831,923.80325000,38862038.68335200,0
1644703200000,41877.82000000,42226.29000000,41830.01000000,42175.51000000,979.96552000,1644706799999,41169757.19903080,33033,497.59271000,20903923.28710530,0
1644706800000,42175.52000000,42250.87000000,42058.83000000,42217.87000000,458.93817000,1644710399999,19348097.41376040,16698,203.10768000,8563271.70575310,0
1644710400000,42217.87000000,42508.47000000,42057.26000000,42390.82000000,893.68946000,1644713999999,37831014.99018640,25385,496.94017000,21036084.82939720,0
1644714000000,42390.81000000,42499.35000000,42198.86000000,42233.77000000,594.53536000,1644717599999,25181004.11698570,19800,206.80669000,8762716.37334820,0
1644717600000,42233.77000000,42275.11000000,42102.22000000,42219.44000000,374.86276000,1644721199999,15813742.39707380,18044,191.73872000,8088557.75419440,0
1644721200000,42219.43000000,42298.29000000,42150.00000000,42230.00000000,467.30385000,1644724799999,19732085.66394640,15355,244.94787000,10344340.57175220,0
1644724800000,42229.99000000,42333.24000000,42119.35000000,42204.84000000,331.68369000,1644728399999,14008193.43481860,16039,152.90299000,6458956.14744360,0
1644728400000,42204.83000000,42314.02000000,42120.00000000,42268.49000000,301.68910000,1644731999999,12740450.77823810,14587,137.73072000,5816702.87858110,0
1644732000000,42268.50000000,42430.00000000,42215.00000000,42426.18000000,522.10084000,1644735599999,22098882.64964230,20038,281.62111000,11920662.77062950,0
1644735600000,42423.88000000,42490.01000000,42300.00000000,42412.40000000,622.37041000,1644739199999,26378629.67489860,19842,273.22685000,11584964.05540970,0
1644739200000,42412.39000000,42500.00000000,42328.92000000,42443.06000000,494.65471000,1644742799999,20993600.30176830,23338,226.97856000,9634300.38995680,0
1644742800000,42443.06000000,42447.99000000,42269.64000000,42310.59000000,514.03134000,1644746399999,21761940.12381630,21812,225.24233000,9535016.91793070,0
1644746400000,42310.59000000,42634.86000000,42243.48000000,42570.00000000,910.16152000,1644749999999,38677148.98277170,29026,515.75912000,21921369.28478890,0
1644750000000,42570.00000000,42654.64000000,42412.33000000,42470.73000000,715.68294000,1644753599999,30448571.64557740,21762,283.10221000,12048592.72299870,0
1644753600000,42470.72000000,42631.89000000,42415.60000000,42468.44000000,505.68604000,1644757199999,21511402.40528750,20362,241.67262000,10281657.54611570,0
1644757200000,42468.43000000,42568.63000000,42400.60000000,42506.34000000,491.05459000,1644760799999,20868486.59034780,21406,221.56551000,9415866.72017890,0
1644760800000,42506.34000000,42714.48000000,42138.17000000,42535.07000000,1526.43752000,1644764399999,64739393.51323220,44787,758.34638000,32168829.65500600,0
1644764400000,42535.07000000,42760.00000000,42498.09000000,42559.97000000,1095.64951000,1644767999999,46713016.51957090,30936,490.44792000,20910368.50110020,0
1644768000000,42559.97000000,42580.00000000,42208.21000000,42311.15000000,1209.49336000,1644771599999,51229489.78120330,34784,577.62103000,24461192.64530100,0
1644771600000,42311.16000000,42311.16000000,42082.16000000,42267.40000000,1069.27269000,1644775199999,45125036.10756180,33798,485.40774000,20483539.90533340,0
1644775200000,42267.39000000,42398.75000000,41870.00000000,41974.93000000,1251.20984000,1644778799999,52630621.35456240,43743,568.81184000,23924411.35597460,0
1644778800000,41974.93000000,42181.63000000,41875.38000000,42031.16000000,940.09116000,1644782399999,39505773.48608600,36201,409.88336000,17226775.47877410,0
1644782400000,42031.17000000,42446.55000000,41929.42000000,42441.44000000,912.03285000,1644785999999,38506017.09450010,34340,431.47956000,18216713.52850970,0
1644786000000,42441.45000000,42497.85000000,42196.09000000,42200.20000000,606.24259000,1644789599999,25661573.82713960,32586,270.05158000,11435102.10375090,0
1644789600000,42200.21000000,42423.53000000,42200.18000000,42371.56000000,446.66398000,1644793199999,18903673.84581550,19357,204.51974000,8654352.01081440,0
1644793200000,42371.56000000,42393.42000000,42018.00000000,42053.66000000,935.48102000,1644796799999,39473562.36792580,27570,436.32840000,18410511.91243980,0
1644796800000,42053.65000000,42180.04000000,41934.03000000,42113.12000000,926.07324000,1644800399999,38946406.23727980,30825,423.25924000,17800961.08719030,0
1644800400000,42116.92000000,42152.00000000,41550.56000000,41670.43000000,2170.21538000,1644803999999,90651261.84451310,50011,1003.35816000,41915566.25559300,0
1644804000000,41670.16000000,41839.95000000,41600.00000000,41703.81000000,1007.93485000,1644807599999,42071997.63920800,25709,510.26182000,21299033.68597460,0
1644807600000,41703.81000000,41971.76000000,41620.32000000,41916.43000000,1063.85847000,1644811199999,44546798.35235400,29506,515.57512000,21590987.38412600,0
1644811200000,41916.42000000,41985.18000000,41836.82000000,41962.01000000,716.08760000,1644814799999,30017410.93611080,21624,288.21355000,12082675.65439030,0
1644814800000,41962.01000000,42018.51000000,41767.27000000,41778.62000000,692.17353000,1644818399999,28986333.66516990,22021,319.91848000,13397467.33335530,0
1644818400000,41778.62000000,42276.00000000,41734.70000000,42184.55000000,1211.53674000,1644821999999,50888334.61107300,32612,602.85399000,25323551.07247550,0
1644822000000,42184.54000000,42368.21000000,42112.47000000,42314.42000000,1102.50624000,1644825599999,46545219.70567680,35939,536.29299000,22644608.94986500,0
1644825600000,42314.42000000,42415.00000000,42000.30000000,42033.61000000,1869.83736000,1644829199999,78925621.42371390,39737,815.80387000,34418409.18543610,0
1644829200000,42033.61000000,42226.23000000,41956.76000000,42077.44000000,1271.51240000,1644832799999,53516665.93194890,33858,691.84152000,29121614.20323890,0
1644832800000,42077.44000000,42279.00000000,41922.48000000,42225.30000000,1041.35777000,1644836399999,43891162.11820900,28118,499.03910000,21034989.05885370,0
1644836400000,42225.30000000,42270.00000000,42070.01000000,42117.87000000,736.79201000,1644839999999,31080075.19836200,22818,327.56679000,13818135.22128590,0
1644840000000,42112.71000000,42591.49000000,41961.13000000,42535.39000000,2562.92668000,1644843599999,108484792.83433720,61431,1440.36120000,60973207.04314750,0
1644843600000,42535.39000000,42687.37000000,42380.93000000,42491.00000000,1832.36934000,1644847199999,77945130.57599400,51548,786.39375000,33455847.72783360,0
1644847200000,42490.99000000,42842.40000000,42467.73000000,42519.99000000,2067.44932000,1644850799999,88136038.56819300,53199,1053.27544000,44900151.70061790,0
1644850800000,42519.99000000,42653.84000000,42350.00000000,42584.97000000,2002.99643000,1644854399999,85125685.87905960,44909,1041.73347000,44273544.46577940,0
1644854400000,42584.97000000,42818.35000000,42550.00000000,42651.00000000,1713.34060000,1644857999999,73176995.33986330,38125,787.76102000,33644245.56191910,0
1644858000000,42651.00000000,42807.67000000,42515.16000000,42570.00000000,1200.69953000,1644861599999,51200075.56200550,32439,615.85586000,26266606.22075550,0
1644861600000,42570.01000000,42653.10000000,42212.00000000,42233.91000000,1367.70712000,1644865199999,58049757.70811610,31633,606.85151000,25758753.91803930,0
1644865200000,42233.91000000,42299.74000000,41803.17000000,42119.31000000,3445.59493000,1644868799999,144901155.01954470,67291,1945.63085000,81827852.75561630,0
1644868800000,42119.31000000,42308.72000000,41933.95000000,42180.50000000,1425.44436000,1644872399999,60098957.28840880,34640,721.59378000,30430796.06305450,0
1644872400000,42180.51000000,42282.10000000,42100.00000000,42234.50000000,628.47496000,1644875999999,26525290.38246700,20733,354.64792000,14968831.27806660,0
1644876000000,42234.51000000,42750.00000000,42220.40000000,42678.07000000,1221.24806000,1644879599999,51974535.34380760,35733,653.74998000,27818181.46970150,0
1644879600000,42678.07000000,42800.00000000,42529.51000000,42535.94000000,731.99368000,1644883199999,31242129.27917020,23163,370.92731000,15832633.86965920,0
1644883200000,42535.94000000,42668.43000000,42427.03000000,42576.18000000,875.53425000,1644886799999,37248826.64634750,23773,452.57172000,19256225.03774390,0
1644886800000,42576.18000000,43700.00000000,42518.10000000,43465.96000000,3424.41579000,1644890399999,148036389.31029040,77036,1927.57152000,83338337.27359140,0
1644890400000,43465.97000000,43685.70000000,43389.75000000,43569.79000000,1923.15274000,1644893999999,83697092.40643830,46967,920.39169000,40057173.95224750,0
1644894000000,43569.78000000,43663.77000000,43501.00000000,43567.76000000,1146.27393000,1644897599999,49967560.82685520,36005,437.46089000,19069666.63458820,0
1644897600000,43567.75000000,43781.97000000,43459.41000000,43468.94000000,1452.26922000,1644901199999,63304534.83941340,40161,594.78127000,25924799.38449800,0
1644901200000,43468.93000000,43626.48000000,43397.10000000,43573.44000000,829.32419000,1644904799999,36098698.09715540,22823,404.79491000,17619173.14179110,0
1644904800000,43573.45000000,43698.82000000,43521.75000000,43544.44000000,929.30088000,1644908399999,40525209.95141650,24798,412.35160000,17984257.86337490,0
1644908400000,43544.45000000,43777.00000000,43527.26000000,43691.57000000,1118.68088000,1644911999999,48815459.22494680,32365,587.65330000,25643979.97961820,0
